CBN-LBF 2015-080,R0.75,8,0.9,1.46,15°,50,4,30.600,8.28,8.55,8.83,9.14,9.83
CBN-LBF 2015-100,R0.75,10,0.9,1.46,15°,50,4,32.200,10.35,10.69,11.05,11.44,12.31
CBN-LBF 2015-120,R0.75,12,0.9,1.46,15°,50,4,32.200,12.42,12.83,13.27,13.74,14.80
CBN-LBF 2015-150,R0.75,15,0.9,1.46,15°,50,4,32.200,15.52,16.04,16.59,17.19,18.53
CBN-LBF 2020-040,R1,4,1.2,1.97,15°,50,4,27.700,4.12,4.23,4.35,4.48,4.77
CBN-LBF 2020-050,R1,5,1.2,1.97,15°,50,4,27.700,5.16,5.30,5.46,5.63,6.01
CBN-LBF 2020-060,R1,6,1.2,1.97,15°,50,4,27.700,6.19,6.37,6.57,6.78,7.26
CBN-LBF 2020-080,R1,8,1.2,1.97,15°,50,4,30.600,8.26,8.51,8.79,9.08,9.74
CBN-LBF 2020-100,R1,10,1.2,1.97,15°,50,4,30.600,10.32,10.65,11.00,11.38,12.23
CBN-LBF 2020-120,R1,12,1.2,1.97,15°,50,4,32.200,12.39,12.79,13.22,13.68,14.72
CBN-LBF 2020-140,R1,14,1.2,1.97,15°,50,4,32.700,14.46,14.93,15.44,15.98,17.20
CBN-LBF 2020-160,R1,16,1.2,1.97,15°,50,4,32.700,16.53,17.07,17.65,18.28,19.69
CBN-LBF 2020-180,R1,18,1.2,1.97,15°,50,4,32.700,18.59,19.21,19.87,20.58,干渉なし
CBN-LBF 2020-200,R1,20,1.2,1.97,15°,50,4,32.700,20.66,21.35,22.09,22.88,干渉なし
CBN-LBF 2030-040,R1.5,4,1.8,2.94,15°,50,6,29.260,4.16,4.26,4.36,4.47,4.72
CBN-LBF 2030-060,R1.5,6,1.8,2.94,15°,50,6,29.260,6.23,6.40,6.58,6.77,7.21
CBN-LBF 2030-080,R1.5,8,1.8,2.94,15°,50,6,29.260,8.30,8.54,8.79,9.07,9.70
CBN-LBF 2040-060,R2,6,2.4,3.95,15°,50,6,35.320,6.21,6.36,6.52,6.70,7.09
